Headline,URL
Down the Rabbit hole: Pocket-sized AI gadget put to the testThe R1 is the latest attempt to build AI-powered hardware that challenges our smartphone addiction.16 hrs ago,/news/articles/ce5571gvl3xo
Down the Rabbit hole: Pocket-sized AI gadget put to the test,
"Why is Taylor Swift so big? 'She wants it more than anyone'As she launches the UK leg of her Eras tour, we look at how Taylor Swift became pop's biggest star.16 hrs agoCulture",/news/articles/cpvvx9lwl0do
Why is Taylor Swift so big? 'She wants it more than anyone',
Witnesses tell of 'unimaginable' Gaza shelter air strikeDozens of people are reported to have been killed in the strike which Israel says targeted Hamas.1 day agoMiddle East,/news/articles/cp335xyymjgo
Witnesses tell of 'unimaginable' Gaza shelter air strike,
"Myanmar soldiers cut off tattoos and gave detainees urine to drink, witnesses tell BBCWitnesses tell the BBC the Myanmar army tortured and killed dozens of men in a village in Rakhine State.1 day agoAsia",/news/articles/ckmm6jep6l7o
"Myanmar soldiers cut off tattoos and gave detainees urine to drink, witnesses tell BBC",
Weekly quiz: Which runaway horse will wish the King a happy birthday?Test how closely you have been paying attention to what has been going on over the past seven days.22 hrs agoWorld,/news/world-69097605
Weekly quiz: Which runaway horse will wish the King a happy birthday?,
Most watched,
1On the coastal path near where Michael Mosley was last seen,/news/videos/cv22dz0w7k2o
On the coastal path near where Michael Mosley was last seen,
2Astronauts in Boeing capsule arrive at space station,/news/articles/c8vvrrv1mg1o
Astronauts in Boeing capsule arrive at space station,
"3Choking during sex led to real violence, woman says",/news/videos/cevvn1dpgvzo
"Choking during sex led to real violence, woman says",
4'Wanna feed the giraffe?' Moment toddler grabbed from truck,/news/videos/cl44z1ne6e1o
'Wanna feed the giraffe?' Moment toddler grabbed from truck,
5Zelensky and D-Day veteran call each other 'hero',/news/articles/cd11rej2qy8o
Zelensky and D-Day veteran call each other 'hero',
Also in news,
"On the coastal path near where Michael Mosley was last seenKnown for his TV programmes and his Just One Thing podcast which airs on BBC Radio 4, the presenter was last seen on Wednesday.2 hrs agoEurope",/news/videos/cv22dz0w7k2o
On the coastal path near where Michael Mosley was last seen,
'Lion' pouts and baptisms: Africa's top shotsA selection of the week's best photos from across the African continent.13 hrs agoAfrica,/news/articles/c8441wy2y77o
'Lion' pouts and baptisms: Africa's top shots,
Zelensky and D-Day veteran call each other 'hero'Ukraine’s president hugged the World War Two soldier at a ceremony to mark the 80th anniversary of D-Day.20 hrs agoEurope,/news/articles/cd11rej2qy8o
Zelensky and D-Day veteran call each other 'hero',
Prince Harry can appeal against UK security ruling22 hrs agoUK,/news/articles/c7228zd319lo
Prince Harry can appeal against UK security ruling,
Premier League clubs vote in favour of keeping VARWolves' proposal to scrap VAR has been voted down at the Premier League's annual general meeting.  1 day agoFootball,/sport/football/articles/ck55eg44n1do
Premier League clubs vote in favour of keeping VAR,
'Lion' pouts and baptisms: Africa's top shotsA selection of the week's best photos from across the African continent.13 hrs agoAfrica,/news/articles/c8441wy2y77o
'Lion' pouts and baptisms: Africa's top shots,
Why scientists are using a crossbow to study whalesResearchers use the device to take remote biopsies from wild humpback whales to monitor their health.16 hrs agoScience & Environment,/news/videos/c0kkpqljdlko
Why scientists are using a crossbow to study whales,
Hiker finds pipe feeding China's tallest waterfallA hiker posted a  video showing the water flow of the fall was coming from a pipe built into the rock face.1 day agoAsia,/news/articles/cp99l9gpzwgo
Hiker finds pipe feeding China's tallest waterfall,
Zelensky and D-Day veteran call each other 'hero'Ukraine’s president hugged the World War Two soldier at a ceremony to mark the 80th anniversary of D-Day.20 hrs agoEurope,/news/articles/cd11rej2qy8o
Zelensky and D-Day veteran call each other 'hero',
Most read,
1CCTV appears to show Michael Mosley after leaving beach,/news/articles/cl552xdq79do
CCTV appears to show Michael Mosley after leaving beach,
2US jobs surge casts doubt over interest rate cuts,/news/articles/c97763pnlvpo
US jobs surge casts doubt over interest rate cuts,
3Woman sues Netflix over Baby Reindeer character,/news/articles/c6ppe84jq6do
Woman sues Netflix over Baby Reindeer character,
4India opposition accuses Modi of 'stock market scam',/news/articles/cekkddndldeo
India opposition accuses Modi of 'stock market scam',
5Hiker finds pipe feeding China's tallest waterfall,/news/articles/cp99l9gpzwgo
Hiker finds pipe feeding China's tallest waterfall,
"6'My 17-year-old was brutally killed, but I'm glad she fought for freedom'",/news/articles/cydd87gen62o
"'My 17-year-old was brutally killed, but I'm glad she fought for freedom'",
7William among guests at Duke of Westminster's wedding,/news/articles/c3ggpwx27ydo
William among guests at Duke of Westminster's wedding,
8Refugees sent to Rwanda from remote UK island speak to BBC,/news/articles/c511kkwej7jo
Refugees sent to Rwanda from remote UK island speak to BBC,
9Modi to be sworn in as India's PM on Sunday,/news/articles/c999v798e91o
Modi to be sworn in as India's PM on Sunday,
10Why two UK judges cut ties with Hong Kong's courts,/news/articles/c722094n135o
Why two UK judges cut ties with Hong Kong's courts,
Sport,
LIVEFrench Open semi-finals: Sinner wins third set against Alcaraz despite crampsFollow live text and listen to commentary from day 13 of the French Open at Roland Garros.,https://www.bbc.com/sport/tennis/live/c800d7d6g0jt
French Open semi-finals: Sinner wins third set against Alcaraz despite cramps,
"LIVET20 World Cup - Canada v Ireland latestIreland face Canada in the Men's T20 World Cup 2024 in New York - follow text updates, radio commentary and video highlights",https://www.bbc.com/sport/cricket/live/cj55qm8lnm5t
T20 World Cup - Canada v Ireland latest,
Zverev's domestic abuse case discontinued German tennis player Alexander Zverev’s trial over domestic abuse allegations made by his former girlfriend is discontinued.5 hrs agoTennis,/sport/tennis/articles/cw44pggrl7zo
Zverev's domestic abuse case discontinued,
Sensational upset awakens USA from 100-year cricketing hibernationWhy the USA's shock victory over Pakistan in the men's T20 World Cup could be huge for the sport stateside.17 hrs agoPakistan,/sport/cricket/articles/cy990k0lwl7o
Sensational upset awakens USA from 100-year cricketing hibernation,
'Unbelievable win over Pakistan a big day for US cricket'USA cricket captain Monank Patel reacts to his side’s stunning super-over win against Pakistan in the T20 World Cup.18 hrs agoCricket,/sport/cricket/videos/cj55e9e8j5po
'Unbelievable win over Pakistan a big day for US cricket',
"LIVET20 World Cup - Canada v Ireland latestIreland face Canada in the Men's T20 World Cup 2024 in New York - follow text updates, radio commentary and video highlights",https://www.bbc.com/sport/cricket/live/cj55qm8lnm5t
T20 World Cup - Canada v Ireland latest,
"Tyson-Paul bout rescheduled for 15 November in USAThe rescheduled bout between Jake Paul and Mike Tyson will take place on 15 November, with Katie Taylor fighting Amanda Serrano.19 mins agoBoxing",/sport/articles/c6pp017510lo
Tyson-Paul bout rescheduled for 15 November in USA,
"Rydstrom & Hurzeler among Brighton contendersMalmo boss Henrik Rydstrom and St Pauli coach Fabian Hurzeler are among the contenders to be the next Brighton manager, with the club set to make a decision at some point next week.3 hrs agoBrighton",/sport/football/articles/crggep5049po
Rydstrom & Hurzeler among Brighton contenders,
Zverev's domestic abuse case discontinued German tennis player Alexander Zverev’s trial over domestic abuse allegations made by his former girlfriend is discontinued.5 hrs agoTennis,/sport/tennis/articles/cw44pggrl7zo
Zverev's domestic abuse case discontinued,
British Broadcasting Corporation,/
Home,https://www.bbc.com/
News,/news
Sport,/sport
Business,/business
Innovation,/innovation
Culture,/culture
Travel,/travel
Earth,/future-planet
Video,/video
Live,/live
Audio,https://www.bbc.co.uk/sounds
Weather,https://www.bbc.com/weather
BBC Shop,https://shop.bbc.com/
Terms of Use,https://www.bbc.co.uk/usingthebbc/terms
About the BBC,https://www.bbc.co.uk/aboutthebbc
Privacy Policy,https://www.bbc.com/usingthebbc/privacy/
Cookies,https://www.bbc.com/usingthebbc/cookies/
Accessibility Help,https://www.bbc.co.uk/accessibility/
Contact the BBC,https://www.bbc.co.uk/contact
Advertise with us,https://www.bbc.com/advertisingcontact
Do not share or sell my info,https://www.bbc.com/usingthebbc/cookies/how-can-i-change-my-bbc-cookie-settings/
Contact technical support,https://www.bbc.com/contact-bbc-com-help
Read about our approach to external linking.,https://www.bbc.co.uk/editorialguidelines/guidance/feeds-and-links
